psu_V,keithley_195A_V,psx_4110_V
0.00,-6.851e-3,-6.8e-3
1.01,1.0058,1.0058
2.01,2.008,2.0068
3.00,3.010,3.0084
4.02,4.011,4.0095
5.01,5.012,5.0113
