spd3303c_current_A,psx_4110_mA,keithley_195A_mV
0.10,100.9,4.29
0.20,198.8,8.45
0.30,296.3,12.60
0.40,402.25,17.02
0.50,498.70,21.09
0.60,603.33,25.54
0.70,698.78,29.58
0.80,801.50,33.97
0.90,894.60,39.70
1.00,994.45,42.17
1.10,1099.60,46.79
1.20,1201.30,51.05
1.30,1300.50,55.27
1.40,1396.35,59.36
1.50,1500.32,63.93
1.60,1596.00,67.93
1.70,1698.25,72.73
1.80,1800.70,76.76
1.90,1897,80,80.96
2.00,2001.75,85.45

